ID,Name,PhLevel,HarvestDays,IdealGrowthArea,WaterPerWeek,SoilType,PlantSpacing,RootDepth,HardinessZone,MinTemp,MaxTemp,IdealPlantDate
1,Apple,6.5,150,"44.1°N, 120.5°W",35.5,Loam,450,120,5,-25,35,2026-03-15
2,Apricot,6.8,100,"39.5°N, 67.0°E",30,Well-drained,500,150,5,-20,38,2026-03-01
3,Artichoke,6.8,110,"34.4°N, 119.7°W",30,Sandy Loam,90,90,7,10,28,2026-02-10
4,Arugula,6.5,40,"45.0°N, 93.0°W",25,Rich Loam,15,15,3,4,21,2026-04-15
5,Asparagus,7.2,730,"40.0°N, 105.0°W",25,Sandy Loam,45,180,4,5,30,2026-03-20
6,Avocado,6.2,300,"33.5°N, 117.5°W",45,Well-drained,600,120,9,15,35,2026-04-01
7,Bamboo Shoot,6,365,"30.0°N, 110.0°E",50,Moist Loam,300,100,7,-10,35,2026-03-20
8,Banana,6,365,"15.5°N, 90.5°W",60,Alluvial,250,90,10,18,38,2026-05-15
9,Basil,6.5,60,"38.0°N, 23.0°E",25,Rich Loam,30,25,9,15,32,2026-05-20
10,Beet,6.5,60,"52.0°N, 13.0°E",25,Deep Loam,10,45,3,10,25,2026-04-01
11,Blackberry,6,90,"45.5°N, 122.5°W",30,Sandy Loam,120,60,5,5,30,2026-03-10
12,Black Pepper,5.8,270,"10.0°N, 76.0°E",50,Rich Humus,200,60,10,18,38,2026-06-01
13,Blueberry,4.8,120,"44.5°N, 68.5°W",40,Peaty Sand,150,40,3,5,28,2026-04-15
14,Bok Choy,6.5,50,"31.0°N, 121.0°E",25,Fertile Loam,20,30,4,7,24,2026-03-25
15,Borage,6.5,65,"38.0°N, 15.0°E",25,Sandy Loam,30,30,4,5,30,2026-04-01
16,Boysenberry,6,90,"34.0°N, 118.0°W",30,Loam,150,60,5,5,32,2026-03-15
17,Broccoli,6.8,70,"36.5°N, 121.5°W",40,Loam,45,60,3,10,25,2026-03-15
18,Brussels Sprout,6.8,100,"51.0°N, 4.0°E",35,Heavy Loam,60,60,3,7,24,2026-07-01
19,Cabbage,6.8,85,"50.0°N, 10.0°E",35,Clay Loam,45,60,3,7,24,2026-03-10
20,Cantaloupe,6.5,85,"35.0°N, 112.0°W",30,Sandy,90,90,4,18,35,2026-05-10
21,Carambola,6,150,"5.0°N, 100.0°E",45,Well-drained,600,120,10,18,38,2026-04-15
22,Cardoon,6.8,150,"38.0°N, 10.0°W",35,Deep Loam,60,90,7,5,28,2026-03-10
23,Carrot,6.5,75,"52.5°N, 5.5°E",20,Deep Sand,5,45,3,7,25,2026-04-05
24,Cashew,6,180,"15.0°N, 75.0°E",25,Sandy,800,200,10,18,42,2026-04-01
25,Cassava,6.5,300,"10.0°S, 50.0°W",30,Sandy Loam,90,60,10,18,40,2026-05-15
26,Cauliflower,6.8,80,"34.0°N, 118.0°W",40,Loam,60,60,3,10,25,2026-03-20
27,Celeriac,6.5,120,"50.0°N, 10.0°E",40,Rich Loam,30,30,4,10,25,2026-04-15
28,Celery,6.5,120,"37.0°N, 121.0°W",50,Muck Soil,20,30,4,15,24,2026-04-15
29,Chard,6.5,55,"40.0°N, 5.0°W",30,Loam,30,45,3,5,28,2026-03-25
30,Chayote,6.5,150,"15.5°N, 90.5°W",45,Fertile Loam,200,60,9,15,32,2026-04-15
31,Cherimoya,6.5,240,"12.0°S, 75.0°W",35,Well-drained,600,120,10,10,30,2026-03-15
32,Cherry (Sweet),6.5,70,"45.0°N, 120.0°W",35,Well-drained,500,150,5,-15,32,2026-03-01
33,Chickpea,6.8,100,"30.0°N, 75.0°E",15,Sandy Loam,10,120,5,10,35,2026-03-01
34,Chicory,6.5,90,"50.0°N, 5.0°E",30,Loam,30,45,4,5,25,2026-04-01
35,Chinese Cabbage,6.5,60,"35.0°N, 115.0°E",30,Fertile Loam,30,30,4,7,25,2026-03-25
36,Chive,6.5,90,"50.0°N, 15.0°E",20,Rich Loam,15,20,3,5,28,2026-03-15
37,Cilantro,6.5,50,"19.4°N, 99.1°W",20,Loam,10,20,3,10,30,2026-04-01
38,Citron,6,240,"37.5°N, 15.0°E",40,Sandy Loam,500,120,9,12,38,2026-03-01
39,Cloudberry,5,60,"65.0°N, 25.0°E",40,Boggy/Peat,30,20,1,-40,20,2026-06-01
40,Clove,6,365,"1.2°S, 127.3°E",60,Volcanic,800,150,11,20,35,2026-06-01
41,Coconut,6.2,3650,"8.0°N, 80.0°E",45,Sandy,800,150,11,20,40,2026-06-01
42,Coffee,5.5,365,"10.0°N, 40.0°E",45,Volcanic,300,120,10,15,30,2026-05-15
43,Collards,6.5,75,"34.0°N, 81.0°W",35,Loam,45,60,6,5,30,2026-03-15
